[2024-10-14 14:06:03] ,3, Receive TERM : 00:00:00.478
[2024-10-14 14:06:03] ,4, Receive TERM : 00:00:00.479
[2024-10-14 14:06:03] ,1, Receive TERM : 00:00:00.480
[2024-10-14 14:06:03] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:06:03] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:06:03] ,4, Receive TERM : 00:00:00.493
[2024-10-14 14:06:04] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:06:04] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:06:04] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:06:04] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:06:04] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:06:04] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:06:04] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:06:04] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:06:05] ,1, Receive TERM : 00:00:00.496
[2024-10-14 14:06:05] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:06:05] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:06:05] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:06:05] ,1, Receive TERM : 00:00:00.493
[2024-10-14 14:06:05] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:06:05] ,3, Receive TERM : 00:00:00.480
[2024-10-14 14:06:05] ,4, Receive TERM : 00:00:00.477
[2024-10-14 14:06:06] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:06:06] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:06:06] ,3, Receive TERM : 00:00:00.510
[2024-10-14 14:06:06] ,4, Receive TERM : 00:00:00.511
[2024-10-14 14:06:06] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:06:06] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:06:06] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:06:06] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:06:07] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:06:07] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:06:07] ,3, Receive TERM : 00:00:00.479
[2024-10-14 14:06:07] ,4, Receive TERM : 00:00:00.462
[2024-10-14 14:06:07] ,1, Receive TERM : 00:00:00.415
[2024-10-14 14:06:07] ,2, Receive TERM : 00:00:00.398
[2024-10-14 14:06:07] ,3, Receive TERM : 00:00:00.399
[2024-10-14 14:06:07] ,4, Receive TERM : 00:00:00.414
[2024-10-14 14:06:07] ,1, Receive TERM : 00:00:00.414
[2024-10-14 14:06:07] ,2, Receive TERM : 00:00:00.415
[2024-10-14 14:06:08] ,3, Receive TERM : 00:00:00.415
