[2024-10-14 14:05:58] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:58] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:05:58] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:59] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:59] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:59] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:59] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:59] ,0, Receive TERM : 00:00:00.129
[2024-10-14 14:05:59] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:59] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:05:59] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:06:00] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:06:00] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:00] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:06:00] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:06:00] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:00] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:00] ,0, Receive TERM : 00:00:00.124
[2024-10-14 14:06:00] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:06:01] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:01] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:01] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:01] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:06:01] ,0, Receive TERM : 00:00:00.109
[2024-10-14 14:06:01] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:01] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:06:01] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:06:02] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:06:02] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:02] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:02] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:06:02] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:02] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:06:02] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:02] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:06:03] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:06:03] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:06:03] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:06:03] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:06:03] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:03] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:03] ,0, Receive TERM : 00:00:00.142
[2024-10-14 14:06:03] ,0, Receive TERM : 00:00:00.095
[2024-10-14 14:06:03] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:06:04] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:04] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:06:04] ,0, Receive TERM : 00:00:00.109
[2024-10-14 14:06:04] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:04] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:04] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:06:04] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:04] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:05] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:06:05] ,0, Receive TERM : 00:00:00.109
[2024-10-14 14:06:05] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:05] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:06:05] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:06:05] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:06:05] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:06:05] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:06:06] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:06] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:06:06] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:06] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:06] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:06] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:06:06] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:06:06] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:06:07] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:06:07] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:06:07] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:06:07] ,0, Receive TERM : 00:00:00.094
[2024-10-14 14:06:07] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:06:07] ,0, Receive TERM : 00:00:00.095
[2024-10-14 14:06:07] ,0, Receive TERM : 00:00:00.094
[2024-10-14 14:06:07] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:06:07] ,0, Receive TERM : 00:00:00.093
[2024-10-14 14:06:08] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:06:08] ,0, Receive TERM : 00:00:00.098
